,Date,sensor,value
0,06/02/21 16:12:19,Temperatura,30.980488093290724
1,06/02/21 16:12:20,Temperatura,33.166061500984455
2,06/02/21 16:12:21,Temperatura,37.344251410341315
3,06/02/21 16:12:22,Temperatura,33.29095347009542
4,06/02/21 16:12:23,Temperatura,38.42871686203314
5,06/02/21 16:12:24,Temperatura,37.99053738966238
6,06/02/21 16:12:26,Temperatura,36.78389581176794
7,06/02/21 16:12:27,Temperatura,24.538888924050948
8,06/02/21 16:12:28,Temperatura,32.32032431902291
9,06/02/21 16:12:29,Temperatura,26.945655768343034
10,06/02/21 16:12:30,Temperatura,32.285856195751045
11,06/02/21 16:12:31,Temperatura,30.89501929848033
12,06/02/21 16:12:32,Temperatura,33.8502627502413
13,06/02/21 16:12:33,Temperatura,34.87090629028303
14,06/02/21 16:12:34,Temperatura,31.55749226031362
15,06/02/21 16:12:35,Temperatura,30.37168106757237
16,06/02/21 16:12:36,Temperatura,28.038082573704184
17,06/02/21 16:12:37,Temperatura,28.132204828752204
18,06/02/21 16:12:38,Temperatura,38.46061597426812
19,06/02/21 16:12:39,Temperatura,28.491356402759923
20,06/02/21 16:12:40,Temperatura,34.24907781224606
21,06/02/21 16:12:41,Temperatura,33.38531828457989
22,06/02/21 16:12:42,Temperatura,30.350151595340826
23,06/02/21 16:12:43,Temperatura,42.67959049386067
24,06/02/21 16:12:44,Temperatura,30.82045598007967
25,06/02/21 16:12:45,Temperatura,30.335440056745576
26,06/02/21 16:12:46,Temperatura,39.675471018333845
27,06/02/21 16:12:47,Temperatura,36.41817810706259
28,06/02/21 16:12:48,Temperatura,28.555849913218005
29,06/02/21 16:12:49,Temperatura,26.890160943794477
30,06/02/21 16:12:50,Temperatura,24.772872547874886
31,06/02/21 16:12:51,Temperatura,32.86697542019317
32,06/02/21 16:12:52,Temperatura,22.141234606071507
33,06/02/21 16:12:53,Temperatura,32.19921458325544
34,06/02/21 16:12:54,Temperatura,22.361304336630614
35,06/02/21 16:12:55,Temperatura,39.70725113315457
36,06/02/21 16:12:56,Temperatura,21.956807789624953
37,06/02/21 16:12:57,Temperatura,31.67123864316053
38,06/02/21 16:12:58,Temperatura,31.881299241538287
39,06/02/21 16:12:59,Temperatura,27.854017996680117
40,06/02/21 16:13:00,Temperatura,35.660529031074
41,06/02/21 16:13:01,Temperatura,26.771626711213017
42,06/02/21 16:13:02,Temperatura,28.73101078837582
43,06/02/21 16:13:03,Temperatura,30.36705691677223
44,06/02/21 16:13:04,Temperatura,34.92670746338841
45,06/02/21 16:13:05,Temperatura,30.81729960233113
46,06/02/21 16:13:06,Temperatura,31.220794854782756
47,06/02/21 16:13:07,Temperatura,35.95491926898784
48,06/02/21 16:13:08,Temperatura,29.16371760783299
49,06/02/21 16:13:09,Temperatura,27.606756618466996
50,06/02/21 16:13:10,Temperatura,29.906263832627985
51,06/02/21 16:13:11,Temperatura,32.040015336974605
52,06/02/21 16:13:13,Temperatura,26.840704552448155
53,06/02/21 16:13:14,Temperatura,22.41295081515252
54,06/02/21 16:13:15,Temperatura,23.84757220154335
55,06/02/21 16:13:16,Temperatura,28.94587945588689
56,06/02/21 16:13:17,Temperatura,24.553727848663897
57,06/02/21 16:13:18,Temperatura,26.1683151589838
58,06/02/21 16:13:19,Temperatura,27.75980690376565
59,06/02/21 16:13:20,Temperatura,27.379009641178904
60,06/02/21 16:13:21,Temperatura,34.60631917662316
61,06/02/21 16:13:22,Temperatura,30.085914748758025
62,06/02/21 16:13:23,Temperatura,36.282121342341554
63,06/02/21 16:13:24,Temperatura,22.32589905354849
64,06/02/21 16:13:25,Temperatura,37.83088254460315
65,06/02/21 16:13:26,Temperatura,28.140408113742645
66,06/02/21 16:13:27,Temperatura,24.62684823846091
67,06/02/21 16:13:28,Temperatura,32.4076866386624
68,06/02/21 16:13:29,Temperatura,30.768721173535404
69,06/02/21 16:13:30,Temperatura,36.2876323248198
70,06/02/21 16:13:31,Temperatura,36.74890498195129
71,06/02/21 16:13:32,Temperatura,36.27130753947374
72,06/02/21 16:13:33,Temperatura,35.86124018918365
73,06/02/21 16:13:34,Temperatura,29.185015527683092
74,06/02/21 16:13:35,Temperatura,33.215011945074664
75,06/02/21 16:13:36,Temperatura,20.378097924181922
76,06/02/21 16:13:37,Temperatura,38.199605914090604
77,06/02/21 16:13:38,Temperatura,35.058119123645525
78,06/02/21 16:13:39,Temperatura,22.97677186928725
79,06/02/21 16:13:40,Temperatura,27.798116212576293
80,06/02/21 16:13:41,Temperatura,26.029014500676773
81,06/02/21 16:13:42,Temperatura,40.07293899478055
82,06/02/21 16:13:43,Temperatura,23.11058287601707
83,06/02/21 16:13:44,Temperatura,26.328060760900254
84,06/02/21 16:13:45,Temperatura,26.76210062163217
85,06/02/21 16:13:46,Temperatura,27.495504016368315
86,06/02/21 16:13:47,Temperatura,26.449546342638122
87,06/02/21 16:13:48,Temperatura,33.04208327273301
88,06/02/21 16:13:49,Temperatura,36.1151235847751
89,06/02/21 16:13:50,Temperatura,26.239289307437165
90,06/02/21 16:13:51,Temperatura,35.88898348429993
